                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.7397,                 1.8113,                 1.8269,                0.40933,                0.37547,                0.32028,                0.12931,                 2.1053,                 2.2565,                 2.0749,              0.0012132,              0.0012132,              0.0012132
                     57,                 1.7208,                 1.7609,                 1.8367,                0.47791,                0.34979,                0.34293,                0.14123,                 2.1085,                 2.1699,                 2.0699,              0.0012049,              0.0012049,              0.0012049
                     58,                 1.6966,                 1.7515,                 1.8249,                0.42916,                 0.3859,                0.35708,                0.14112,                 2.0988,                 2.1756,                 2.0424,              0.0011967,              0.0011967,              0.0011967
                     59,                 1.7147,                 1.7813,                  1.821,                0.46535,                0.38176,                0.35917,                0.14952,                  2.047,                 2.1045,                 2.0136,              0.0011884,              0.0011884,              0.0011884
                     60,                 1.7237,                  1.696,                 1.7928,                0.39796,                0.36739,                0.34242,                0.13793,                 2.1421,                 2.1849,                 2.0607,              0.0011802,              0.0011802,              0.0011802
                     61,                 1.7202,                 1.7632,                 1.8084,                0.45945,                0.37913,                0.36928,                  0.159,                  2.015,                 2.1134,                 1.9722,              0.0011719,              0.0011719,              0.0011719
                     62,                 1.6914,                 1.7308,                 1.7895,                0.48281,                0.39108,                0.39758,                0.15758,                 2.0428,                 2.0817,                 1.9974,              0.0011636,              0.0011636,              0.0011636
                     63,                 1.7038,                 1.7151,                 1.7815,                0.42313,                0.37631,                 0.3518,                0.14472,                 2.0789,                 2.1178,                 2.0077,              0.0011554,              0.0011554,              0.0011554
                     64,                  1.708,                 1.6957,                 1.7828,                0.46569,                0.36438,                0.37305,                 0.1521,                 2.0764,                 2.0415,                 2.0322,              0.0011471,              0.0011471,              0.0011471
                     65,                 1.6859,                 1.6864,                 1.7885,                0.48485,                 0.3606,                0.36654,                0.15143,                 2.0672,                 2.1636,                 2.0204,              0.0011389,              0.0011389,              0.0011389
                     66,                 1.7164,                 1.7286,                  1.821,                0.46323,                0.39583,                0.37003,                0.14749,                  2.051,                 2.1127,                  2.007,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.6863,                 1.6884,                 1.7497,                0.50352,                0.35813,                0.37133,                0.15135,                 2.1047,                 2.0823,                 2.0325,              0.0011224,              0.0011224,              0.0011224
                     68,                 1.7156,                  1.681,                 1.7758,                0.43141,                0.36303,                0.33929,                0.12889,                 2.1702,                 2.1887,                 2.0885,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.6987,                 1.6999,                 1.7915,                0.50464,                0.36311,                0.37546,                0.16086,                 2.0178,                 2.0554,                 1.9709,              0.0011059,              0.0011059,              0.0011059
                     70,                 1.6856,                 1.6679,                 1.7739,                0.51215,                0.35635,                0.37345,                0.15521,                 2.0777,                 2.1316,                 2.0085,              0.0010976,              0.0010976,              0.0010976
                     71,                 1.7075,                 1.6584,                 1.7894,                0.42308,                0.37107,                0.35053,                0.14388,                 2.1018,                 2.1771,                  2.054,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.6586,                 1.6546,                 1.7596,                0.47344,                 0.3611,                0.36174,                0.14692,                 2.0909,                 2.0438,                 2.0172,              0.0010811,              0.0010811,              0.0010811
                     73,                 1.6533,                  1.648,                 1.7734,                0.54085,                 0.3928,                0.41315,                0.18039,                  2.024,                 1.9639,                 1.9692,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.6908,                 1.6454,                 1.7742,                0.45569,                0.38994,                0.37866,                0.16117,                 2.0145,                 2.0541,                 1.9944,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.6801,                 1.6669,                 1.7991,                0.50166,                0.37233,                0.37199,                 0.1512,                 2.1176,                 2.1727,                 2.0509,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.6787,                 1.6383,                 1.7647,                0.45487,                0.37632,                0.36642,                0.16272,                  2.034,                 2.2645,                 1.9955,              0.0010481,              0.0010481,              0.0010481
                     77,                 1.6623,                 1.6272,                 1.7662,                 0.4335,                0.37513,                0.33454,                0.13502,                 2.0885,                 2.3157,                 2.0535,              0.0010399,              0.0010399,              0.0010399
                     78,                  1.649,                 1.6176,                 1.7473,                0.49922,                0.36338,                0.36106,                0.15093,                 2.0562,                 2.2064,                 2.0068,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.6685,                 1.6273,                 1.7592,                0.47539,                0.38236,                0.37784,                0.15928,                 2.0148,                 2.1011,                  1.985,              0.0010234,              0.0010234,              0.0010234
                     80,                  1.657,                 1.6571,                 1.7541,                0.48541,                 0.3905,                0.37954,                0.16439,                 2.0031,                 2.0226,                 1.9708,              0.0010151,              0.0010151,              0.0010151
                     81,                  1.642,                 1.6027,                 1.7401,                0.49031,                0.39773,                 0.3796,                0.15626,                 2.0557,                 2.0514,                 2.0042,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.6397,                 1.6013,                 1.7322,                0.52621,                0.38536,                0.40654,                0.15971,                 2.0428,                 1.9474,                 1.9622,             0.00099862,             0.00099862,             0.00099862
                     83,                 1.6524,                 1.6174,                 1.7532,                0.48226,                0.37673,                0.35445,                0.14062,                 2.2018,                  2.158,                 2.1258,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.6475,                  1.623,                 1.7539,                0.49584,                 0.3866,                 0.3853,                0.15994,                 2.0853,                  2.032,                  2.023,             0.00098211,             0.00098211,             0.00098211
                     85,                  1.639,                 1.5998,                 1.7451,                0.45961,                0.40808,                0.39368,                0.16615,                 2.0688,                 2.0834,                  2.021,             0.00097386,             0.00097386,             0.00097386
                     86,                 1.6215,                  1.572,                 1.7249,                0.48839,                0.40601,                0.40184,                0.16367,                 2.0926,                 2.0029,                 2.0121,             0.00096561,             0.00096561,             0.00096561
                     87,                 1.6519,                 1.5756,                 1.7395,                0.45055,                0.39118,                0.37802,                0.15931,                 2.0443,                 1.9864,                 1.9686,             0.00095736,             0.00095736,             0.00095736
                     88,                 1.6506,                 1.5343,                 1.7306,                0.49112,                0.38858,                0.40129,                0.16261,                  2.068,                 1.9873,                 1.9987,             0.00094911,             0.00094911,             0.00094911
                     89,                 1.6434,                 1.5785,                 1.7422,                0.47724,                0.41946,                0.39441,                0.16012,                 2.1087,                 2.0159,                 2.0631,             0.00094085,             0.00094085,             0.00094085
                     90,                  1.623,                 1.5796,                 1.7423,                0.51164,                0.37956,                0.38848,                0.15883,                 2.0894,                 2.0898,                 2.0235,              0.0009326,              0.0009326,              0.0009326
                     91,                 1.6305,                 1.5345,                 1.7177,                0.50768,                0.38973,                0.39998,                 0.1688,                 2.0345,                  2.001,                 1.9922,             0.00092435,             0.00092435,             0.00092435
                     92,                  1.604,                 1.5404,                 1.7143,                0.49185,                0.40887,                0.40245,                0.17044,                 2.0541,                 1.9615,                 1.9917,              0.0009161,              0.0009161,              0.0009161
                     93,                 1.5936,                 1.4983,                 1.6824,                 0.5118,                0.41288,                0.40796,                0.15957,                 2.0671,                 2.0075,                 1.9838,             0.00090785,             0.00090785,             0.00090785
                     94,                 1.6163,                 1.5104,                 1.7193,                0.44662,                0.41185,                0.38763,                 0.1594,                 2.0772,                 2.0324,                 2.0175,              0.0008996,              0.0008996,              0.0008996
                     95,                 1.5936,                 1.5108,                 1.7023,                0.53116,                 0.3856,                0.40145,                0.16341,                 2.1205,                 2.0305,                 2.0567,             0.00089134,             0.00089134,             0.00089134
